id,Nama,Age,Balanced,No 2b Thread-No,No 3 Thread-No,Previous Balanced,Average Balanced,No 1 Thread-No,Free Transfer,No 2a Thread-No
51,Isaiah,20,220,2,,152,168.5,2,2,2
52,Andrew,51,159,2,,137,143.0,2,9,2
53,Elias,45,215,2,,102,141.0,2,4,2
54,Joshua,46,133,2,,100,111.5,2,6,2
55,Nathan,53,129,2,,118,118.5,2,7,2
56,Caleb,23,191,2,,122,139.0,2,0,2
57,Ryan,33,202,2,,64,115.5,2,3,2
58,Adrian,40,191,2,,77,116.5,2,0,2
59,Miles,32,124,2,,134,124.0,2,5,2
60,Eli,23,72,2,,170,116.0,2,3,2
61,Nolan,20,132,2,,91,106.5,2,7,2
62,Christian,21,216,2,,81,131.0,2,2,2
63,Aaron,21,155,2,,124,134.5,2,9,2
64,Cameron,29,229,2,,174,184.0,2,1,2
65,Ezekiel,50,149,2,,112,125.5,2,9,2
66,Colton,27,143,2,,154,143.5,2,8,2
67,Luca,29,63,2,,96,74.5,2,4,2
68,Landon,52,224,2,,100,144.5,2,2,2
69,Hunter,36,190,2,,82,118.5,2,2,2
70,Jonathan,37,73,2,,171,117.0,2,2,2
71,Santiago,43,128,2,,154,136.0,2,8,2
72,Axel,31,136,2,,95,110.5,2,7,2
73,Easton,46,101,2,,168,129.5,2,1,2
74,Cooper,43,116,2,,197,151.5,2,7,2
75,Jeremiah,30,104,2,,191,142.5,2,2,2
76,Angel,28,92,2,,124,103.0,2,2,2
77,Roman,52,120,2,,73,91.5,2,7,2
78,Connor,28,107,2,,163,130.0,2,1,2
79,Jameson,48,231,2,,186,191.0,2,4,2
80,Robert,40,133,2,,102,112.5,2,9,2
81,Greyson,32,188,2,,155,154.0,2,4,2
82,Jordan,49,118,2,,102,105.0,2,9,2
83,Ian,40,84,2,,136,105.0,2,4,2
84,Carson,41,104,2,,92,93.0,2,4,2
85,Jaxson,44,111,2,,158,129.5,2,8,2
86,Leonardo,35,132,2,,104,113.0,2,6,2
87,Nicholas,53,193,2,,62,110.0,2,3,2
88,Dominic,50,123,2,,66,89.5,2,9,2
89,Austin,21,130,2,,96,108.0,2,9,2
90,Everett,51,105,2,,190,142.5,2,2,2
91,Brooks,20,193,2,,103,130.5,2,0,2
92,Xavier,20,136,2,,103,114.5,2,5,2
93,Kai,39,222,2,,64,125.5,2,0,2
94,Jose,38,139,2,,148,138.5,2,7,2
95,Parker,39,154,2,,154,149.0,2,9,2
96,Adam,39,142,2,,59,95.5,2,7,2
97,Jace,28,212,2,,160,168.5,2,3,2
98,Wesley,44,147,2,,70,103.5,2,8,2
99,Kayden,29,96,2,,50,68.0,2,1,2
100,Silas,30,133,2,,86,104.5,2,6,2
