id,Nama,Age,Balanced,No 2b Thread-No,No 3 Thread-No,Previous Balanced,Average Balanced,No 1 Thread-No,Free Transfer,No 2a Thread-No
151,Jayce,44,90,4,,126,108.0,4,3,4
152,Lorenzo,47,137,4,,105,121.0,4,8,4
153,Ivan,42,70,4,,139,104.5,4,1,4
154,Jude,49,66,4,,121,93.5,4,0,4
155,August,27,147,4,,76,111.5,4,7,4
156,Kevin,40,131,4,,110,120.5,4,6,4
157,Malachi,20,86,4,,69,77.5,4,4,4
158,Elliott,39,206,4,,147,164.0,4,2,4
159,Rhett,45,200,4,,156,165.5,4,1,4
160,Archer,24,202,4,,69,123.0,4,4,4
161,Karter,42,113,4,,52,82.5,4,9,4
162,Arthur,40,186,4,,82,121.5,4,4,4
163,Luka,20,119,4,,73,96.0,4,8,4
164,Elliot,24,139,4,,58,98.5,4,9,4
165,Thiago,23,78,4,,68,73.0,4,4,4
166,Brandon,27,116,4,,120,118.0,4,6,4
167,Camden,45,139,4,,148,143.5,4,8,4
168,Justin,22,109,4,,98,103.5,4,6,4
169,Jesus,25,225,4,,94,147.0,4,1,4
170,Maddox,27,128,4,,148,138.0,4,7,4
171,King,32,99,4,,183,141.0,4,2,4
172,Theo,28,52,4,,84,68.0,4,1,4
173,Enzo,39,132,4,,60,96.0,4,9,4
174,Matteo,30,58,4,,192,125.0,4,4,4
175,Emiliano,51,202,4,,144,160.5,4,4,4
176,Dean,45,202,4,,191,184.0,4,0,4
177,Hayden,39,118,4,,195,156.5,4,8,4
178,Finn,34,122,4,,79,100.5,4,7,4
179,Brody,52,59,4,,190,124.5,4,4,4
180,Antonio,32,179,4,,62,108.0,4,1,4
181,Abel,40,148,4,,188,168.0,4,8,4
182,Alex,34,76,4,,67,71.5,4,2,4
183,Tristan,30,131,4,,119,125.0,4,5,4
184,Graham,51,93,4,,61,77.0,4,1,4
185,Zayden,31,91,4,,102,96.5,4,4,4
186,Judah,27,137,4,,113,125.0,4,6,4
187,Xander,44,65,4,,159,112.0,4,4,4
188,Miguel,35,177,4,,112,132.0,4,0,4
189,Atlas,48,145,4,,144,144.5,4,9,4
190,Messiah,27,67,4,,66,66.5,4,2,4
191,Barrett,21,88,4,,144,116.0,4,3,4
192,Tucker,25,204,4,,185,182.0,4,3,4
193,Timothy,32,132,4,,63,97.5,4,6,4
194,Alan,40,97,4,,51,74.0,4,4,4
195,Edward,45,137,4,,104,120.5,4,9,4
196,Leon,53,65,4,,197,131.0,4,1,4
197,Dawson,24,107,4,,151,129.0,4,6,4
198,Eric,47,130,4,,73,101.5,4,7,4
199,Ace,32,192,4,,101,134.0,4,3,4
200,Victor,53,60,4,,148,104.0,4,2,4
